namespace,name,func,author,scope,usage,description,parameters
conditions - queries you may call from campaign script,AdjacentRegionRebelling,0089A840,Ed,,AdjacentRegionRebelling(),Are any of the regions adjacent to the region rebelling,none
conditions - queries you may call from campaign script,AdviceDisplayed,00E0CC30,Guy,,"AdviceDisplayed(""-1890476358"")",Has a piece of advice been seen since this game session started,Key from advice_levels table
conditions - queries you may call from campaign script,AdviceJustDisplayed,00E0CCD0,Guy,,"AdviceJustDisplayed(""-1890476358"")","The name of the advisory issued or dismissed, as described in the key field of the advice level record",None
conditions - queries you may call from campaign script,AdviceThreadProgress,00E0CD80,Guy,,"AdviceThreadProgress(""0001_Battle_Advice_Friendly_Fire_thread"")",How much progress has been made through the named thread,Key from advice_threads table
conditions - queries you may call from campaign script,ArmyIsAlliedCampaign,0089A900,Ed,,ArmyIsAlliedCampaign(),Does the army belong to a faction allied to the player faction,none
conditions - queries you may call from campaign script,ArmyIsLocalCampaign,0089A990,Ed,,ArmyIsLocalCampaign(),Does the army belong to the player faction?,none
conditions - queries you may call from campaign script,BattleAllianceIsAttacker,0052A280,Ingimar,,BattleAllianceIsAttacker(),Returns true if the alliance is the attacker from the campaign map,No parameters needed
conditions - queries you may call from campaign script,BattleAllianceIsPlayers,0052A350,Ingimar,,BattleAllianceIsPlayers(),Returns true if the alliance contains the players army,No parameters needed
conditions - queries you may call from campaign script,BattleAllianceNumberOfShips,0052A400,Ingimar,,BattleAllianceNumberOfShips(),Returns the number of ships in all the armies of the alliance,No parameters needed
conditions - queries you may call from campaign script,BattleAllianceNumberOfUnits,0052A470,Ingimar,,BattleAllianceNumberOfUnits(),Returns the number of units in all the armies of the alliance,No parameters needed
conditions - queries you may call from campaign script,BattleCommanderIsGeneral,0052A4E0,Ingimar,,BattleCommanderIsGeneral(),Returns true if the the alliance has a general and not just a colonel,No parameters needed
conditions - queries you may call from campaign script,BattleEnemyAlliancePercentageCanHide,0052A5D0,Ingimar,,BattleEnemyAlliancePercentageCanHide(),"Checks the percentage of enemy units ( in alliance ) that can hide, returns a percentage",No parameters needed
conditions - queries you may call from campaign script,BattleEnemyAlliancePercentageOfClassAndCategory,0052A6D0,Ingimar,,"BattleEnemyAlliancePercentageOfClassAndCategory(""class"", ""category"")","Takes in class and category of a particular unit and goes through every enemy army, returning the percentage of units that match the class and category","Two lowercase strings, first being the particular class string ( see unit_stats_land table ) and second being the category string ( see units table )"
